Abbreviation,Number,Full Title,Raw Credits,Min Credits,Max Credits,Has Credit Range,Gen-Eds,Full Description
COMP,572,Computational Photography,3.0,3.0,3.0,False,[],"The course provides a hands on introduction to techniques in computational photography--the process of digitally recording light and then performing computational manipulations on those measurements to produce an image or other representation. The course includes an introduction to relevant concepts in computer vision and computer graphics. Requisites: Prerequisites, COMP 401, 410, and MATH 547 or 577; a grade of C or better is required in all prerequisite courses. Grading status: Letter grade. "
COMP,575,Introduction to Computer Graphics,3.0,3.0,3.0,False,[],"Hardware, software, and algorithms for computer graphics. Scan conversion, 2-D and 3-D transformations, object hierarchies. Hidden surface removal, clipping, shading, and antialiasing. Not for graduate computer science credit. Requisites: Prerequisites, COMP 401, 410, 411, and MATH 547 or MATH 577; a grade of C or better is required in all prerequisite courses. Grading status: Letter grade. "
COMP,576,Mathematics for Image Computing,3.0,3.0,3.0,False,[],"Mathematics relevant to image processing and analysis using real image computing objectives and provided by computer implementations. Requisites: Prerequisites, COMP 116 or 210 or 401, and MATH 233; a grade of C or better is required in all prerequisites. Grading status: Letter grade. Same as: BMME 576. "
COMP,580,Enabling Technologies,3.0,3.0,3.0,False,['EE- Service Learning'],"We will investigate ways computer technology can be used to mitigate the effects of disabilities and the sometimes surprising response of those we intended to help. Requisites: Prerequisites, COMP 210, 211, and 301; or COMP 401 and 410; a grade of C or better is required in all prerequisites. Gen Ed: EE- Service Learning. Grading status: Letter grade. "
COMP,581,Introduction to Robotics,3.0,3.0,3.0,False,[],"Hands-on introduction to robotics with a focus on the computational aspects. Students will build and program mobile robots. Topics include kinematics, actuation, sensing, configuration spaces, control, and motion planning. Applications include industrial, mobile, personal, and medical robots. Honors version availableRequisites: Prerequisites, COMP 210, 211, 301, and 311; or COMP 401, 410, and 411; a grade of C or better is required in all prerequisite courses. Grading status: Letter grade. "
COMP,585,Serious Games,3.0,3.0,3.0,False,['EE- Field Work'],"Concepts of computer game development and their application beyond entertainment to fields such as education, health, and business. Course includes team development of a game. Honors version availableRequisites: Prerequisites, COMP 210, 211, 301, and 311; or COMP 401, 410, and 411, and at least two chosen from COMP 426, 431, 433, 520, 521, 523, 530, 535, 575; a grade of C or better in all prerequisite courses. Gen Ed: EE- Field Work. Grading status: Letter grade. "
COMP,590,Topics in Computer Science,3.0,3.0,3.0,False,[],Permission of the instructor. This course has variable content and may be taken multiple times for credit. Different sections may be taken in the same semester. Honors version availableRepeat rules: May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 4 total completions. Grading status: Letter grade. 
COMP,630,Operating System Implementation,3.0,3.0,3.0,False,[],"Students will learn how to write OS kernel code in C and a small amount of assembly. Students will implement major components of the OS kernel, such as page tables, scheduling, and program loading. Requisites: Prerequisite, COMP 530; a grade of B+ or better is required; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
COMP,631,Computer Networks,3.0,3.0,3.0,False,[],"Required preparation, a first course in operating systems, a first course in networking (e. g. , COMP 431 and 530), and knowledge of probability and statistics. Topics in computer networks, including link layer protocols, switching, IP, TCP, and congestion control. Additional topics may include peer-to-peer infrastructures, network security, and multimedia applications. Grading status: Letter grade. "
COMP,633,Parallel and Distributed Computing,3.0,3.0,3.0,False,[],"Required preparation, a first course in operating systems and a first course in algorithms (e. g. , COMP 530 and 550). Principles and practices of parallel and distributed computing. Models of computation. Concurrent programming languages and systems. Architectures. Algorithms and applications. Practicum. Grading status: Letter grade. "
COMP,635,Wireless and Mobile Communications,3.0,3.0,3.0,False,[],"This course builds an understanding of the core issues encountered in the design of wireless (vs. wired) networks. It also exposes students to fairly recent paradigms in wireless communication. Requisites: Prerequisite, COMP 431. Grading status: Letter grade. "
COMP,636,Distributed Collaborative Systems,3.0,3.0,3.0,False,[],"Design and implementation of distributed collaborative systems. Collaborative architectures, consistency of replicated objects, collaborative user-interfaces, application and system taxonomies, application-level multicast, performance, causality, operation transformation, and concurrency and access control. Requisites: Prerequisite, COMP 431 or 530; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
COMP,651,Computational Geometry,3.0,3.0,3.0,False,[],"Required preparation, a first course in algorithms (e. g. , COMP 550). Design and analysis of algorithms and data structures for geometric problems. Applications in graphics, CAD/CAM, robotics, GIS, and molecular biology. Grading status: Letter grade. "
COMP,655,Cryptography,3.0,3.0,3.0,False,[],"Introduction to design and analysis of cryptographic algorithms. Topics include basis of abstract algebra and number theory, symmetric and asymmetric encryption algorithms, cryptographic hash functions, message authentication codes, digital signature schemes, elliptic curve algorithms, side-channel attacks, selected advanced topicsRequisites: Prerequisites, COMP 455 and STOR 435; permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. "
COMP,662,Scientific Computation II,3.0,3.0,3.0,False,[],"Theory and practical issues arising in linear algebra problems derived from physical applications, e. g. , discretization of ODEs and PDEs. Linear systems, linear least squares, eigenvalue problems, singular value decomposition. Requisites: Prerequisite, MATH 661. Grading status: Letter grade. Same as: MATH 662, ENVR 662. "
COMP,665,"Images, Graphics, and Vision",3.0,3.0,3.0,False,['QI'],"Required preparation, a first course in data structures and a first course in discrete mathematics (e. g. , COMP 410 and MATH 383). Display devices and procedures. Scan conversion. Matrix algebra supporting viewing transformations in computer graphics. Basic differential geometry. Coordinate systems, Fourier analysis, FDFT algorithm. Human visual system, psychophysics, scale in vision. Gen Ed: QI. Grading status: Letter grade. "
COMP,672,Simulation Modeling and Analysis,3.0,3.0,3.0,False,[],"Introduces students to modeling, programming, and statistical analysis applicable to computer simulations. Emphasizes statistical analysis of simulation output for decision-making. Focuses on discrete-event simulations and discusses other simulation methodologies such as Monte Carlo and agent-based simulations. Students model, program, and run simulations using specialized software. Familiarity with computer programming recommended. Requisites: Prerequisites, STOR 555 and 641. Grading status: Letter grade. Same as: STOR 672. "
COMP,690,Special Topics in Computer Science,14.0,1.0,4.0,True,[],This course has variable content and may be taken multiple times for credit. COMP 690 courses do not count toward the major or minor. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 8 total credits. 2 total completions. Grading status: Letter grade. 
COMP,691,Honors Thesis in Computer Science,3.0,3.0,3.0,False,['EE- Mentored Research'],For computer science majors only and by permission of the department. Individual student research for students pursuing an honors thesis in computer science under the supervision of a departmental faculty adviser. Gen Ed: EE- Mentored Research. Grading status: Letter grade. 
COMP,692,Honors Thesis in Computer Science,3.0,3.0,3.0,False,['EE- Mentored Research'],Permission of the department. Required of all students in the honors program in computer science. The construction of a written honors thesis and an oral public presentation of the thesis are required. Gen Ed: EE- Mentored Research. Grading status: Letter grade. 
COMP,715,Visualization in the Sciences,3.0,3.0,3.0,False,[],"Computational visualization applied in the natural sciences. For both computer science and natural science students. Available techniques and their characteristics, based on human perception, using software visualization toolkits. Project course. Grading status: Letter grade. Same as: MTSC 715, PHYS 715. "
COMP,720,Compilers,3.0,3.0,3.0,False,[],"Tools and techniques of compiler construction. Lexical, syntactic, and semantic analysis. Emphasis on code generation and optimization. Requisites: Prerequisites, COMP 455, 520, and 524. Grading status: Letter grade. "
COMP,721,Database Management Systems,3.0,3.0,3.0,False,[],"Database management systems, implementation, and theory. Query languages, query optimization, security, advanced physical storage methods and their analysis. Requisites: Prerequisites, COMP 521 and 550. Grading status: Letter grade. "
COMP,722,Data Mining,3.0,3.0,3.0,False,[],"Data mining is the process of automatic discovery of patterns, changes, associations, and anomalies in massive databases. This course provides a survey of the main topics (including and not limited to classification, regression, clustering, association rules, feature selection, data cleaning, privacy, and security issues) and a wide spectrum of applications. Requisites: Prerequisites, COMP 550 and STOR 435. Grading status: Letter grade. "
COMP,723,Software Design and Implementation,3.0,3.0,3.0,False,[],"Principles and practices of software engineering. Object-oriented and functional approaches. Formal specification, implementation, verification, and testing. Software design patterns. Practicum. Requisites: Prerequisites, COMP 524 and 550. Grading status: Letter grade. "
COMP,724,Programming Languages,3.0,3.0,3.0,False,[],"Selected topics in the design and implementation of modern programming languages. Formal semantics. Type theory. Inheritance. Design of virtual machines. Garbage collection. Principles of restructuring compilers. Requisites: Prerequisites, COMP 455, 520, and 524. Grading status: Letter grade. "
COMP,730,Operating Systems,3.0,3.0,3.0,False,[],"Theory, structuring, and design of operating systems. Sequential and cooperating processes. Single processor, multiprocessor, and distributed operating systems. Requisites: Prerequisite, COMP 530. Grading status: Letter grade. "
COMP,734,Distributed Systems,3.0,3.0,3.0,False,[],"Design and implementation of distributed computing systems and services. Inter-process communication and protocols, naming and name resolution, security and authentication, scalability, high availability, replication, transactions, group communications, distributed storage systems. Requisites: Prerequisite, COMP 431; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
COMP,735,Distributed and Concurrent Algorithms,3.0,3.0,3.0,False,[],"Verification of concurrent systems. Synchronization; mutual exclusion and related problems, barriers, rendezvous, nonblocking algorithms. Fault tolerance: consensus, Byzantine agreement, self-stabilization. Broadcast algorithms. Termination and deadlock detection. Clock synchronization. Requisites: Prerequisites, COMP 530 and 550. Grading status: Letter grade. "
COMP,737,Real-Time Systems,3.0,3.0,3.0,False,[],"Taxonomy and evolution of real-time systems. Timing constraints. Design, implementation, and analysis of real-time systems. Theory of deterministic scheduling and resource allocation. Case studies and project. Requisites: Prerequisite, COMP 530. Grading status: Letter grade. "
COMP,740,Computer Architecture and Implementation,3.0,3.0,3.0,False,[],"Architecture and implementation of modern single-processor computer systems. Performance measurement. Instruction set design. Pipelining. Instruction-level parallelism. Memory hierarchy. I/O system. Floating-point arithmetic. Case studies. Practicum. Requisites: Prerequisites, COMP 411 and PHYS 352. Grading status: Letter grade. "
COMP,741,Elements of Hardware Systems,3.0,3.0,3.0,False,[],"Issues and practice of information processing hardware systems for computer scientists with little or no previous hardware background. System thinking, evaluating technology alternatives, basics of electronics, signals, sensors, noise, and measurements. Requisites: Prerequisite, COMP 411. Grading status: Letter grade. "
COMP,744,VLSI Systems Design,3.0,3.0,3.0,False,[],"Required preparation, knowledge of digital logic techniques. Introduction to the design, implementation, and realization of very large-scale integrated systems. Each student designs a complete digital circuit that will be fabricated and returned for testing and use. Requisites: Prerequisite, COMP 740. Grading status: Letter grade. "
COMP,750,Algorithm Analysis,3.0,3.0,3.0,False,[],"Algorithm complexity. Lower bounds. The classes P, NP, PSPACE, and co-NP; hard and complete problems. Pseudo-polynomial time algorithms. Advanced data structures. Graph-theoretic, number-theoretic, probabilistic, and approximation algorithms. Requisites: Prerequisites, COMP 455 and 550. Grading status: Letter grade. "
COMP,752,Mechanized Mathematical Inference,3.0,3.0,3.0,False,[],"Propositional calculus. Semantic tableaux. Davis-Putnam algorithm. Natural deduction. First-order logic. Completeness. Resolution. Problem representation. Abstraction. Equational systems and term rewriting. Specialized decision procedures. Nonresolution methods. Requisites: Prerequisite, COMP 825. Grading status: Letter grade. "
COMP,755,Machine Learning,3.0,3.0,3.0,False,[],"Machine Learning methods are aimed at developing systems that learn from data. The course covers data representations suitable for learning, mathematical underpinnings of the learning methods and practical considerations in their implementations. Requisites: Prerequisite,  COMP 410 and MATH 233. Grading status: Letter grade. "
COMP,761,Introductory Computer Graphics,1.0,1.0,1.0,False,[],A computer graphics module course with one credit hour of specific COMP 665 content. Grading status: Letter grade. 
COMP,763,Semantics and Program Correctness,3.0,3.0,3.0,False,[],"Formal characterization of programs. Denotational semantics and fixed-point theories. Proof of program correctness and termination. Algebraic theories of abstract data types. Selected topics in the formalization of concurrent computation. Requisites: Prerequisite, COMP 724. Grading status: Letter grade. "
COMP,764,Monte Carlo Method,3.0,3.0,3.0,False,[],"Relevant probability and statistics. General history. Variance reduction for sums and integrals. Solving linear and nonlinear equations. Random, pseudorandom generators; random trees. Sequential methods. Applications. Requisites: Prerequisites, COMP 110, MATH 233, 418, and STOR 435; permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. "
COMP,766,Visual Solid Shape,3.0,3.0,3.0,False,[],"3D differential geometry; local and global shape properties; visual aspects of surface shape. Taught largely through models and figures. Applicable to graphics, computer vision, human vision, and biology. Requisites: Prerequisites, MATH 233. Grading status: Letter grade. "
COMP,767,Geometric and Solid Modeling,3.0,3.0,3.0,False,[],"Curve and surface representations. Solid models. Constructive solid geometry and boundary representations. Robust and error-free geometric computations. Modeling with algebraic constraints. Applications to graphics, vision, and robotics. Requisites: Prerequisites, COMP 575 or 770, and MATH 661. Grading status: Letter grade. "
COMP,768,Physically Based Modeling and Simulation,3.0,3.0,3.0,False,[],"Geometric algorithms, computational methods, simulation techniques for modeling based on mechanics and its applications. Requisites: Prerequisite, COMP 665; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
COMP,770,Computer Graphics,3.0,3.0,3.0,False,[],"Study of graphics hardware, software, and applications. Data structures, graphics, languages, curve surface and solid representations, mapping, ray tracing and radiosity. Requisites: Prerequisites, COMP 665 and 761. Grading status: Letter grade. "
COMP,775,Image Processing and Analysis,3.0,3.0,3.0,False,[],"Approaches to analysis of digital images. Scale geometry, statistical pattern recognition, optimization. Segmentation, registration, shape analysis. Applications, software tools. Requisites: Prerequisites, COMP 665, MATH 547, and STOR 435. Grading status: Letter grade. Same as: BMME 775. "
COMP,776,Computer Vision in our 3D World,3.0,3.0,3.0,False,[],"Fundamental problems of computer vision. Projective geometry. Camera models, camera calibration. Shape from stereo, epipolar geometry. Photometric stereo. Optical flow, tracking, motion. Range finders, structured light. Object recognition. Requisites: Prerequisites, MATH 566, COMP 550, 665, and 775; permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. "
COMP,777,Optimal Estimation in Image Analysis,3.0,3.0,3.0,False,[],"Formulation and numerical solution of optimization problems in image analysis. Requisites: Prerequisite, MATH 233, MATH 547, and MATH 535 or STOR 435. Grading status: Letter grade. "
COMP,781,Robotics,3.0,3.0,3.0,False,[],"Introduction to the design, programming, and control of robotic systems. Topics include kinematics, dynamics, sensing, actuation, control, robot learning, tele-operation, and motion planning. Applications will be discussed including industrial, mobile, assistive, personal, and medical robots. Requisites: Prerequisites, COMP 550 and MATH 547; Permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. "
COMP,782,Motion Planning in Physical and Virtual Worlds,3.0,3.0,3.0,False,[],"Topics include path planning for autonomous agents, sensor-based planning, localization and mapping, navigation, learning from demonstration, motion planning with dynamic constraints, and planning motion of deformable bodies. Applications to robots and characters in physical and virtual worlds will be discussed. Requisites: Prerequisite, COMP 550; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
COMP,786,Natural Language Processing,3.0,3.0,3.0,False,[],"Artificial intelligence and machine learning field to build automatic models that can analyze, understand, and generate text. Topics include syntactic parsing, co-reference resolution, semantic parsing, question answering, document summarization, machine translation, dialogue models, and multi-modality. Requisites: Prerequisite, COMP 562. Grading status: Letter grade. "
COMP,787,Visual Perception,3.0,3.0,3.0,False,[],"Surveys form, motion, depth, scale, color, brightness, texture and shape perception. Includes computational modeling of vision, experimental methods in visual psychophysics and neurobiology, recent research and open questions. Requisites: Prerequisites, COMP 665. Grading status: Letter grade. "
COMP,788,Expert Systems,3.0,3.0,3.0,False,[],"Languages for knowledge engineering. Rules, semantic nets, and frames. Knowledge acquisition. Default logics. Uncertainties. Neural networks. Requisites: Prerequisite, COMP 750. Grading status: Letter grade. "
COMP,790,Topics in Computer Science,121.0,1.0,21.0,True,[],Permission of the instructor. This course has variable content and may be taken multiple times for credit. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics. Grading status: Letter grade. 
COMP,822,Topics in Discrete Optimization,3.0,3.0,3.0,False,[],"Topics may include polynomial algorithms, computational complexity, matching and matroid problems, and the traveling salesman problem. Requisites: Prerequisite, STOR 712; Permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. Same as: STOR 822. "
COMP,824,Functional Programming,3.0,3.0,3.0,False,[],"Programming with functional or applicative languages. Lambda calculus; combinators; higher-order functions; infinite objects. Least fixed points, semantics, evaluation orders. Sequential and parallel execution models. Requisites: Prerequisite, COMP 524. Grading status: Letter grade. "
COMP,825,Logic Programming,3.0,3.0,3.0,False,[],"Propositional calculus, Horn clauses, first-order logic, resolution. Prolog: operational semantics, relationship to resolution, denotational semantics, and non-logical features. Programming and applications. Selected advanced topics. Requisites: Prerequisite, COMP 524. Grading status: Letter grade. "
COMP,831,Internet Architecture and Performance,3.0,3.0,3.0,False,[],"Internet structure and architecture; traffic characterization and analysis; errors and error recovery; congestion and congestion control; services and their implementations; unicast and multicast routing. Requisites: Prerequisite, COMP 431; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
COMP,832,Multimedia Networking,3.0,3.0,3.0,False,[],"Audio/video coding and compression techniques and standards. Media streaming and adaptation. Multicast routing, congestion, and error control. Internet protocols RSVP, RTP/RTCP. Integrated and differentiated services architecture for the Internet. Requisites: Prerequisites, COMP 431 and 530. Grading status: Letter grade. "
COMP,841,Advanced Computer Architecture,3.0,3.0,3.0,False,[],"Concepts and evolution of computer architecture, machine language syntax and semantics; data representation; naming and addressing; arithmetic; control structures; concurrency; input-output systems and devices. Milestone architectures. Requisites: Prerequisite, COMP 740. Grading status: Letter grade. "
COMP,842,Advanced Computer Implementation,3.0,3.0,3.0,False,[],"Required preparation, knowledge of digital logic techniques. The application of digital logic to the design of computer hardware. Storage and switching technologies. Mechanisms for addressing, arithmetic, logic, input/output and storage. Microprogrammed and hardwired control. Requisites: Prerequisite, COMP 740. Grading status: Letter grade. "
COMP,844,Advanced Design of VLSI Systems,3.0,3.0,3.0,False,[],"Advanced topics in the design of digital MOS systems. Students design, implement, and test a large custom integrated circuit. Projects emphasize the use of advanced computer-aided design tools. Requisites: Prerequisite, COMP 744. Grading status: Letter grade. "
COMP,850,Advanced Analysis of Algorithms,3.0,3.0,3.0,False,[],"Design and analysis of computer algorithms. Time and space complexity; absolute and asymptotic optimality. Algorithms for searching, sorting, sets, graphs, and pattern-matching. NP-complete problems and provably intractable problems. Requisites: Prerequisite, COMP 750. Grading status: Letter grade. "
COMP,870,Advanced Image Synthesis,3.0,3.0,3.0,False,[],"Advanced topics in rendering, including global illumination, surface models, shadings, graphics hardware, image-based rendering, and antialiasing techniques. Topics from the current research literature. Requisites: Prerequisite, COMP 770. Grading status: Letter grade. "
COMP,872,Exploring Virtual Worlds,3.0,3.0,3.0,False,[],"Project course, lecture, and seminar on real-time interactive 3D graphics systems in which the user is 'immersed' in and interacts with a simulated 3D environment. Hardware, modeling, applications, multi-user systems. Requisites: Prerequisite, COMP 870. Grading status: Letter grade. "
COMP,875,Recent Advances in Image Analysis,3.0,3.0,3.0,False,[],"Lecture and seminar on recent advances in image segmentation, registration, pattern recognition, display, restoration, and enhancement. Requisites: Prerequisite, COMP 775. Grading status: Letter grade. "
COMP,892,Practicum,0.5,0.5,0.5,False,[],"Permission of the instructor. Work experience in an area of computer science relevant to the student's research interests and pre-approved by the instructor. The grade, pass or fail only, will depend on a written report by the student and on a written evaluation by the employer. Repeat rules: May be repeated for credit. Grading status: Letter grade. "
COMP,910,Computer Science Module,0.521,0.5,21.0,True,[],A variable-credit module course that can be used to configure a registration for a portion of a class. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics. Grading status: Letter grade. 
COMP,911,Professional Writing in Computer Science,3.0,3.0,3.0,False,[],Graduate computer science majors only. Analysis of good and bad writing. Exercises in organization and composition. Each student also writes a thesis-quality short technical report on a previously approved project. Grading status: Letter grade. 
COMP,915,Technical Communication in Computer Science,1.0,1.0,1.0,False,[],"Graduate computer science majors or permission of the instructor. Seminar on teaching, short oral presentations, and writing in computer science. Grading status: Letter grade. "
COMP,916,Seminar in Professional Practice,1.0,1.0,1.0,False,[],"Required preparation, satisfaction of M. S. computer science program product requirement. The role and responsibilities of the computer scientist in a corporate environment, as an entrepreneur, and as a consultant. Professional ethics. Grading status: Letter grade. "
COMP,917,Seminar in Research,1.0,1.0,1.0,False,[],"Graduate computer science majors only. The purposes, strategies, and techniques for conducting research in computer science and related disciplines. Grading status: Letter grade. "
COMP,918,Research Administration for Scientists,3.0,3.0,3.0,False,[],"Graduate standing required. Introduction to grantsmanship, research grants and contracts, intellectual property, technology transfer, conflict of interest policies. Course project: grant application in NSF FastLane. Grading status: Letter grade. "
COMP,980,Computers and Society,1.0,1.0,1.0,False,[],"Graduate computer science majors only. Seminar on social and economic effects of computers on such matters as privacy, employment, power shifts, rigidity, dehumanization, dependence, quality of life. Grading status: Letter grade. "
COMP,990,Research Seminar in Computer Science,121.0,1.0,21.0,True,[],Permission of the instructor. Seminars in various topics offered by members of the faculty. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics. Grading status: Letter grade. 
COMP,991,Reading and Research,121.0,1.0,21.0,True,[],Permission of the instructor. Directed reading and research in selected advanced topics. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics. Grading status: Letter grade. 
COMP,992,Master's (Non-Thesis),3.0,3.0,3.0,False,[],Permission of the department. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics. 
COMP,993,Master's Research and Thesis,3.0,3.0,3.0,False,[],Permission of the department. Repeat rules: May be repeated for credit. 
COMP,994,Doctoral Research and Dissertation,3.0,3.0,3.0,False,[],Permission of the department. Repeat rules: May be repeated for credit. 

EURO,89,First-Year Seminar: Special Topics,3.0,3.0,3.0,False,[],Special topics course. Content will vary each semester. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions. Grading status: Letter grade. 
EURO,159,From War to Prosperity: 20th-Century Europe,3.0,3.0,3.0,False,"['HS', 'NA']","A critical overview of 20th-century European history, with particular attention to the constant ethnic, religious, social, economic, and cultural struggles (including Holocaust, Cold War) in various subunits of the old continent. Gen Ed: HS, NA. Grading status: Letter grade. Same as: HIST 159. "
EURO,190,Special Topics Seminar in Contemporary European Studies,13.0,1.0,3.0,True,[],A detailed examination of selected topics in the field of Contemporary European Studies. Repeat rules: May be repeated for credit. 6 total credits. 2 total completions. Grading status: Letter grade. 
EURO,239,Introduction to European Government,3.0,3.0,3.0,False,"['SS', 'GL', 'NA']","A treatment of the political institutions and processes of western European democracies, with special attention to France, Germany, England, and Italy. Honors version availableGen Ed: SS, GL, NA. Grading status: Letter grade. Same as: POLI 239. "
EURO,252,"Politics, Society, and Culture in Modern Germany (1871-1945)",3.0,3.0,3.0,False,"['HS', 'NA']","This course explores the history of Modern Germany, by focusing on Imperial Germany, the Weimar Republic and the Third Reich. We will study continuities and changes in politics, society, and culture and examine the lasting impact of World War I, World War II and the Holocaust. Gen Ed: HS, NA. Grading status: Letter grade. Same as: HIST 252. "
EURO,257,"Politics, Society, and Culture in Postwar Germany",3.0,3.0,3.0,False,"['HS', 'NA']","The interdisciplinary seminar will explore cultural, historical, and political issues of contemporary Germany and analyze German developments from the postwar period to the present. Readings and discussions in English. Gen Ed: HS, NA. Grading status: Letter grade. Same as: HIST 257, POLI 257. "
EURO,259,Towards Emancipation? Women in Modern Europe,3.0,3.0,3.0,False,"['HS', 'NA']","This course examines and compares the situation of women in politics, the work force, society and family from the French Revolution to the new women's movement in the 1970s with a focus on Britain, France and Germany. One major theme is the history of the struggle for women's emancipation. Gen Ed: HS, NA. Grading status: Letter grade. Same as: HIST 259, WGST 259. "
EURO,270,Religion in Western Europe,3.0,3.0,3.0,False,"['HS', 'NA']","In this course, we will explore various topics related to the past and present status of religion in general, and of certain religions in particular, within three Western European countries: the United Kingdom, France, and Germany. Honors version availableGen Ed: HS, NA. Grading status: Letter grade. Same as: RELI 270. "
EURO,285,Applied Experimental Research: Politics in the US and Europe,3.0,3.0,3.0,False,"['SS', 'QI']","The course familiarizes students with experimental research methods in political science, including laboratory experiments, field experiments, and survey experiments. Students will design and conduct an experimental research project on a research question about US or European politics. Gen Ed: SS, QI. Grading status: Letter grade. Same as: POLI 285. "
EURO,347,"Fascist Challenge in Europe, 1918-1945",3.0,3.0,3.0,False,"['HS', 'NA']","The course focus on theories on fascism, national cultures of fascism (e. g. Nazi Germany, Fascist Italy, Hungary) as well as selected topics which are essential to understand the attraction and functioning of fascist movements and regimes since 1918 in Europe (e. g. racism, war, culture, charismatic leadership). Gen Ed: HS, NA. Grading status: Letter grade. Same as: HIST 347. "
EURO,433,Politics of the European Union,3.0,3.0,3.0,False,"['SS', 'GL', 'NA']","Examines the politics and political economy of institutional change and policy making in the European Union in comparative perspective. Honors version availableGen Ed: SS, GL, NA. Grading status: Letter grade. Same as: POLI 433. "
EURO,438,Democracy and International Institutions in an Undivided Europe,3.0,3.0,3.0,False,"['SS', 'NA']","Explores the collapse of communist rule in 1989 and the reaction of international institutions to the challenges of democratization, economic transition, ethnic conflict, and European integration in an undivided Europe. Gen Ed: SS, NA. Grading status: Letter grade. Same as: POLI 438. "
EURO,442,International Political Economy,3.0,3.0,3.0,False,"['SS', 'GL']","Theories of international political economy, major trends in international economic relations, selected contemporary policy issues. Requisites: Prerequisites, ECON 101 and POLI 150. Gen Ed: SS, GL. Grading status: Letter grade. Same as: POLI 442. "
EURO,460,International Economics,3.0,3.0,3.0,False,[],"An introduction to international trade, the balance of payments, and related issues of foreign economic policy. Requisites: Prerequisites, ECON 400 and 410; a grade of C or better in ECON 400 and 410 is required. Grading status: Letter grade. Same as: ECON 460, PWAD 460. "
EURO,486,"Exploration of Russian ""Women's Prose"" and Svetlana Alexievich (Nobel Prize in Literature 2015)",3.0,3.0,3.0,False,"['LA', 'BN']","Using Alexievich as our beacon, we will explore the writers behind the term ""Russian Women's Prose"": Valeria Narbikova, Lyudmila Petrushevskaya, Tatyana Tolstaya, and Lyudmila Ulitskaya. The course will delve into gender identity and body politics as they manifest themselves in the literary texts of lasting aesthetic quality and social relevance. Taught in English; some readings in Russian for qualified students. Gen Ed: LA, BN. Grading status: Letter grade. Same as: RUSS 486, WGST 486. "
EURO,490,Advanced Special Topics Seminar in Contemporary European Studies,13.0,1.0,3.0,True,[],A detailed examination of advanced special topics in Contemporary European Studies. Repeat rules: May be repeated for credit. 6 total credits. 2 total completions. Grading status: Letter grade. 
EURO,691,Honors Thesis in European Studies,3.0,3.0,3.0,False,['EE- Mentored Research'],Directed independent research leading to the preparation of an honors thesis. Gen Ed: EE- Mentored Research. Grading status: Letter grade. 
EURO,692,Honors Thesis in European Studies,3.0,3.0,3.0,False,['EE- Mentored Research'],Completion of the honors thesis and an oral examination of the thesis. Gen Ed: EE- Mentored Research. Grading status: Letter grade. 

CZCH,280,Closely Watched Trains: Czech Film and Literature,3.0,3.0,3.0,False,"['LA', 'BN']","This course examines Czech film and literature against the backdrop of key historical, political, and cultural events of the 20th century. Films with English subtitles. Readings and discussions in English. Gen Ed: LA, BN. Grading status: Letter grade. "
CZCH,401,Elementary Czech I,3.0,3.0,3.0,False,['FL'],"Proficiency-based instruction at the elementary level that develops the four language skills (speaking, listening, reading, writing). In addition to mastering basic vocabulary and grammar, students will communicate in Czech about everyday topics. Gen Ed: FL. Grading status: Letter grade. "
CZCH,402,Elementary Czech II,3.0,3.0,3.0,False,['FL'],"Continuation of the proficiency-based instruction in CZCH 401. Course emphasizes speaking, listening, reading, writing in a cultural context. Students enhance their basic vocabulary and grammar and will regularly communicate in Czech about everyday topics. Requisites: Prerequisite, CZCH 401; permission of the instructor for students lacking the prerequisite. Gen Ed: FL. Grading status: Letter grade. "
CZCH,403,Intermediate Czech I,3.0,3.0,3.0,False,['FL'],"Continuation of proficiency-based instruction begun in Elementary Czech. Requisites: Prerequisite, CZCH 402; permission of the instructor for students lacking the prerequisite. Gen Ed: FL. Grading status: Letter grade. "
CZCH,404,Intermediate Czech II,3.0,3.0,3.0,False,['FL'],"Continuation of proficiency-based instruction begun in Elementary Czech. Requisites: Prerequisite, CZCH 403; permission of the instructor for students lacking the prerequisite. Gen Ed: FL. Grading status: Letter grade. "
CZCH,405,Advanced Czech I,3.0,3.0,3.0,False,[],"Advanced readings and discussion in Czech in humanities and social science topics. Requisites: Prerequisite, CZCH 404; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
